sample_name	unit_name	fq1	fq2	sra	read_format	call_peaks	input	peak_type	sample_group
S2-Zld_aZld_0H_rep1	S2-Zld_aZld_0H_rep1	./../data/2021-03_CR/raw_reads/TGL001_S207_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL001_S207_L002_R2_001.fastq.gz	SRR23933091	PE	TRUE	S2-Zld_IgG_48H_rep1	narrow	S2-Zld_aZld_0H
S2-Zld_aZld_0H_rep2	S2-Zld_aZld_0H_rep2	./../data/2021-03_CR/raw_reads/TGL002_S208_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL002_S208_L002_R2_001.fastq.gz	SRR23933090	PE	TRUE	S2-Zld_IgG_48H_rep2	narrow	S2-Zld_aZld_0H
S2-Zld_aZld_4H_rep1	S2-Zld_aZld_4H_rep1	./../data/2021-03_CR/raw_reads/TGL003_S209_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL003_S209_L002_R2_001.fastq.gz	SRR23933089	PE	TRUE	S2-Zld_IgG_48H_rep1	narrow	S2-Zld_aZld_4H
S2-Zld_aZld_4H_rep2	S2-Zld_aZld_4H_rep2	./../data/2021-03_CR/raw_reads/TGL004_S210_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL004_S210_L002_R2_001.fastq.gz	SRR23933088	PE	TRUE	S2-Zld_IgG_48H_rep2	narrow	S2-Zld_aZld_4H
S2-Zld_aZld_12H_rep1	S2-Zld_aZld_12H_rep1	./../data/2021-03_CR/raw_reads/TGL005_S211_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL005_S211_L002_R2_001.fastq.gz	SRR23933087	PE	TRUE	S2-Zld_IgG_48H_rep1	narrow	S2-Zld_aZld_12H
S2-Zld_aZld_12H_rep2	S2-Zld_aZld_12H_rep2	./../data/2021-03_CR/raw_reads/TGL006_S212_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL006_S212_L002_R2_001.fastq.gz	SRR23933086	PE	TRUE	S2-Zld_IgG_48H_rep2	narrow	S2-Zld_aZld_12H
S2-Zld_aZld_24H_rep1	S2-Zld_aZld_24H_rep1	./../data/2021-03_CR/raw_reads/TGL007_S213_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL007_S213_L002_R2_001.fastq.gz	SRR23933085	PE	TRUE	S2-Zld_IgG_48H_rep1	narrow	S2-Zld_aZld_24H
S2-Zld_aZld_24H_rep2	S2-Zld_aZld_24H_rep2	./../data/2021-03_CR/raw_reads/TGL008_S214_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL008_S214_L002_R2_001.fastq.gz	SRR23933084	PE	TRUE	S2-Zld_IgG_48H_rep2	narrow	S2-Zld_aZld_24H
S2-Zld_aZld_48H_rep1	S2-Zld_aZld_48H_rep1	./../data/2021-03_CR/raw_reads/TGL009_S215_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL009_S215_L002_R2_001.fastq.gz	SRR23933083	PE	TRUE	S2-Zld_IgG_48H_rep1	narrow	S2-Zld_aZld_48H
S2-Zld_aZld_48H_rep2	S2-Zld_aZld_48H_rep2	./../data/2021-03_CR/raw_reads/TGL010_S216_L002_R1_001.fastq.gz	./../data/2021-03_CR/raw_reads/TGL010_S216_L002_R2_001.fastq.gz	SRR23933082	PE	TRUE	S2-Zld_IgG_48H_rep2	narrow	S2-Zld_aZld_48H
