sample_name	unit_name	fq1	fq2	sra	read_format	call_peaks	input	peak_type	sample_group	GSE_accession	notes	lab	GSM_accession
GSE37865_aH4K16ac	SRR495376			SRR495376	SE	TRUE	GSE37865_input	narrow	GSE37865_aH4K16ac	GSE37865		Becker	
GSE37865_input	SRR495379			SRR495379	SE	FALSE			GSE37865_input	GSE37865		Becker	
GSE85191_aH3K4me1_rep1	SRR4000140			SRR4000140	PE	TRUE		broad	GSE85191_aH3K4me1	GSE85191		Adelman	
GSE85191_aH3K4me3_rep1	SRR4000142			SRR4000142	PE	TRUE		narrow	GSE85191_aH3K4me3	GSE85191		Adelman	
GSE85191_aH3K27ac_rep1	SRR4000144			SRR4000144	PE	TRUE		narrow	GSE85191_aH3K27ac	GSE85191		Adelman	
GSE85191_aH3K27ac_rep2	SRR4000145			SRR4000145	PE	TRUE		narrow	GSE85191_aH3K27ac	GSE85191		Adelman	
GSE85191_aH3K4me1_rep2	SRR4000141			SRR4000141	PE	TRUE		broad	GSE85191_aH3K4me1	GSE85191		Adelman	
GSE85191_aH3K4me3_rep2	SRR4000143			SRR4000143	PE	TRUE		narrow	GSE85191_aH3K4me3	GSE85191		Adelman	
GSE85191_aPolII_rep1	SRR4000132			SRR4000132	PE	FALSE			GSE85191_aPolII	GSE85191		Adelman	
GSE85191_aPolII_rep2	SRR4000133			SRR4000133	PE	FALSE			GSE85191_aPolII	GSE85191		Adelman	
GSE160855_input_rep1	SRR12982877			SRR12982877	PE	FALSE			GSE160855_input	GSE160855		Hannon	
GSE160855_input_rep2	SRR12982878			SRR12982878	PE	FALSE			GSE160855_input	GSE160855		Hannon	
GSE160855_aH3K9me3_rep1	SRR12982889			SRR12982889	PE	TRUE	GSE160855_input_rep1	broad	GSE160855_aH3K9me3	GSE160855		Hannon	
GSE160855_aH3K9me3_rep2	SRR12982890			SRR12982890	PE	TRUE	GSE160855_input_rep2	broad	GSE160855_aH3K9me3	GSE160855		Hannon	
GSE64464_input_ab1	SRR1732697			SRR1732697	SE	FALSE			GSE64464_input	GSE64464		Mannervik	
GSE64464_aNej_ab1	SRR1732698			SRR1732698	SE	FALSE	GSE64464_input_ab1	narrow	GSE64464_aNej	GSE64464		Mannervik	
